Time,F0Hz_1,F1Hz_2,F3Hz_3,F4Hz_4,F5Hz_5,F6Hz_6,F8Hz_7,F9Hz_8,F10Hz_9,F11Hz_10,F12Hz_11,F14Hz_12,F15Hz_13,F16Hz_14,F17Hz_15,F19Hz_16,F20Hz_17,F21Hz_18,F22Hz_19,F23Hz_20,F25Hz_21,F26Hz_22,F27Hz_23,F28Hz_24,F30Hz_25,F31Hz_26,F32Hz_27,F33Hz_28,F34Hz_29,F36Hz_30,F37Hz_31,F38Hz_32,F39Hz_33,F41Hz_34,F42Hz_35,F43Hz_36,F44Hz_37,F45Hz_38,F47Hz_39,F48Hz_40,F49Hz_41,F50Hz_42,F52Hz_43,F53Hz_44,F54Hz_45,F55Hz_46,F56Hz_47,F58Hz_48,F59Hz_49,F60Hz_50,F61Hz_51,F63Hz_52,F64Hz_53,F65Hz_54,F66Hz_55,F67Hz_56,F69Hz_57,F70Hz_58,F71Hz_59,F72Hz_60,F73Hz_61,F75Hz_62,F76Hz_63,F77Hz_64,F78Hz_65,F80Hz_66,F81Hz_67,F82Hz_68,F83Hz_69,F84Hz_70,F86Hz_71,F87Hz_72,F88Hz_73,F89Hz_74,F91Hz_75,F92Hz_76,F93Hz_77,F94Hz_78,F95Hz_79,F97Hz_80,F98Hz_81,F99Hz_82,F100Hz_83,F102Hz_84,F103Hz_85,F104Hz_86,F105Hz_87,F106Hz_88,F108Hz_89,F109Hz_90,F110Hz_91,F111Hz_92,F113Hz_93,F114Hz_94,F115Hz_95,F116Hz_96,F117Hz_97,F119Hz_98,F120Hz_99,F121Hz_100,F122Hz_101,F124Hz_102,F125Hz_103,BehaviorResponse
5.004,3.11529320118148,1.67650031396417,1.09741896716782,0.900837392379421,0.537177509180943,0.45449351520577,0.512817816986881,-0.131657980121211,-0.121556631697995,0.123802688534064,-0.570829908778523,-0.216557725031431,-0.38471932484679,-0.291093825435815,-0.363426288322903,-0.301441402732834,-0.574879797073397,-0.430744056240774,-0.297589785326353,-0.330608305680542,-0.652953602845952,-0.672977597601687,-0.357365838430024,-0.709171527507515,-0.820226508145846,-0.586626786670442,-0.492554950160019,-0.581975300223503,-1.03634971242668,-0.875090149683547,-0.639927575145642,-0.745238825550862,-1.26952278017103,-0.736034678169378,-0.611610191601869,-0.570319204236124,-1.05578507739822,-0.587762989451236,-0.855703688820011,-0.950857548435885,-0.86208393878061,-0.870143085933986,-0.759208477008973,-0.772529746236699,-0.693750465913239,-1.1377372344598,-0.945058986528827,-0.811907676424053,-0.875479743824238,-0.936711825638176,-0.962565760195958,-0.642208272906613,-0.808879604266939,-0.831911483725816,-1.14067861284585,-0.833649356795874,-0.989893584862456,-0.825345704042733,-0.982073450603595,-0.985410969154093,-1.02525877540343,-0.519880852222753,-1.02336956625036,-0.878426842787555,-0.942788527028351,-0.958129925043326,-1.05735667469312,-0.811604018928029,-0.728960684921506,-0.833282664316091,-1.1893710763501,-0.996044970339209,-0.783116859356441,-1.2714306842997,-1.05400403276166,-0.998725491201924,-1.16119843324875,-0.824395804413727,-0.876969377153236,-0.999935380810477,-1.11147086009444,-0.921230589973788,-0.964204134263322,-0.800796117617601,-1.30744964654621,-1.38554111894347,-1.21755066029462,-1.76170106725351,-1.90408428511962,-2.27996794973883,-2.7090237510247,-2.80505843082929,-3.06870557033759,-3.24365639432983,-3.21934041064476,-3.1644427827392,-3.33640020498346,-3.25979003329808,-3.27028253132551,-3.21954905506989,-3.27571379803761,-3.29857764210166,-3.3143892459753,1
15.004,2.86415756890702,1.49984458774753,0.879377712201942,1.02029386409646,0.281333372189088,0.72201663510542,0.0860798093038877,0.0800712836909112,0.119712924814801,0.105795520778589,-0.157826417017447,-0.270316545288226,-0.224163207516025,-0.435585048357881,-0.555391763775614,-0.0172158716173234,-0.263295617963665,-0.395250086547763,-0.228894613774304,0.115903625694714,-0.300680490555122,-0.0511559387875416,-0.375416816765762,-0.0623049804389947,-0.113424432308285,-0.00885436674604745,-0.0859647470017776,-0.260818947289025,-0.377044584771401,-0.705716669455073,-0.608379026893143,-0.704268330973122,-0.955709025772004,-0.621754295200753,-0.591159680161758,-1.03682206311355,-0.602097588253509,-0.812868323799121,-0.61905598665912,-0.880192345144542,-0.767101167969462,-1.07253548085043,-0.640164156291394,-0.703932541219605,-0.540169046317378,-0.794552760300147,-1.03633508764593,-0.468660961958689,-0.213823225555916,-0.619444028704951,-0.677122159688155,-0.515023893107074,-0.605120103135803,-1.16300230339039,-1.22379938372763,-0.629915281526394,-0.73122595716735,-1.12261489352223,-0.983978534583913,-0.606670593027081,-1.11895940322583,-0.865805362187573,-0.781852278715072,-0.754748524811905,-1.30113879914378,-0.872165180336349,-0.931788502465518,-0.572832445773511,-0.848865248370961,-0.732559398373107,-0.651735186107325,-0.433478014850229,-0.939758611058186,-1.3856070372851,-1.10833383715806,-0.872182387981648,-0.902702660672281,-0.844913108250915,-0.939712603727363,-0.974813292611582,-0.998049496861137,-1.21901031731804,-0.816427202624855,-0.810528032989685,-1.24921236120125,-1.01737679345189,-1.20186507951359,-1.43311844463533,-1.98503893953367,-2.20210247477278,-2.63839929057347,-2.51769354047752,-2.75112682295861,-2.75231316242813,-2.65477120829731,-2.59158745112727,-2.87795942191487,-3.19901782276903,-2.82682203596233,-2.68633538384838,-2.70350563680907,-2.9672594781641,-3.05059644276818,1
25.004,2.03925348286341,1.05734383628903,0.163133759791333,0.351954178006722,0.149567451838813,0.325557938443759,0.231916592414043,0.284672728230518,-0.0792258943395792,-0.13368589094825,-0.410862531959692,-0.497583654087965,-0.867752760561772,-0.241021850946154,-0.398956467138061,-0.682460786376784,-0.124625042435091,-0.493278948315802,-0.316073620516656,-0.230196095998434,-0.364807411785815,-0.260808745184856,-0.736037975411618,-0.954799142189586,-0.657391473077105,-0.820787471431193,-0.786269591793672,-1.4435474859219,-0.714475048273352,-1.01813750003747,-0.670406169647468,-1.20934376357724,-0.673018949033028,-1.01298515371045,-0.668368770551309,-0.871353986772065,-0.753662984680958,-0.832858430547495,-0.795163902219261,-0.760188568298355,-0.996743190644063,-0.930432347303216,-0.722430234339569,-1.05194496386822,-0.870300766642631,-1.0567533351379,-1.35257779897946,-1.16871246936211,-0.637008136870499,-1.05411479968675,-1.38584025373875,-1.12893111155811,-1.33213337761742,-1.29398626636714,-1.03205889812115,-1.42618802520395,-1.27368710348679,-1.26179848745688,-0.816344204388535,-1.02874810442762,-0.951322142372841,-0.739525543997948,-1.25022834699288,-1.06416791847577,-0.725733655900133,-1.37544687722822,-1.24270538397482,-1.21419034753312,-1.04900187075581,-0.995222881781578,-1.0996181208873,-1.03029633505131,-1.14321018787269,-1.23542262866875,-1.07295658321862,-0.902232193806089,-1.14900988180318,-1.02357008128615,-1.22198208793672,-1.11602116838301,-1.16745596149058,-1.05736750053592,-1.28567073342985,-0.885652177454706,-1.21410695142469,-1.32196799087775,-1.37533093085922,-1.54848896845279,-2.21306283852055,-2.17337397988654,-2.62642229027972,-2.44908772125837,-2.87197589985853,-2.73657398247706,-2.80669441636062,-2.93657006624962,-2.92255682379533,-3.09429647152251,-3.04769081390726,-2.99202520094715,-2.99746038348593,-3.02226123798737,-3.0126845109182,1
35.004,2.41707435635176,0.348082911415402,0.582520582917936,0.468951829383573,0.176949311793333,0.11678277897599,0.200230243574173,0.166558397707512,0.185396374259493,-0.411468618598804,-0.48542396801046,-0.418190057913545,-0.384964673803246,-0.183709893358799,-0.0353466936094468,-0.378770048348436,-0.553760551564394,-0.541056405694668,-0.276569374396887,-0.356877622689237,-0.291172242344519,-0.718360752376025,-0.631398157249011,-0.700112250255007,-0.720843261800823,-0.205685167612433,-0.981128140840131,-1.00082161268966,-1.25236375947586,-0.331319989073354,-0.7586939040384,-0.583846090525499,-0.827104286132245,-1.23348623579627,-1.19769867865773,-0.878763546984513,-0.942230101505356,-1.03457587920104,-1.09337556034932,-0.423636466287287,-0.729002375812553,-0.866073676902376,-0.925271555255378,-1.09206760639672,-0.977578553553988,-1.0120448465766,-0.900724434498791,-0.812139250668841,-1.04636581137723,-0.79255035313725,-1.51768495506652,-1.11683187414168,-0.799650569042006,-0.933342090194944,-0.849400567791518,-0.747702666456877,-1.32383646621611,-1.104701225307,-1.39414660380433,-1.11242602937283,-0.945431978411799,-0.793148965318934,-1.18673631430191,-1.45154118206442,-1.06389868265896,-1.10534922951368,-1.02220377481776,-0.985000354069145,-1.1107233000397,-1.26605498798904,-1.81932087960842,-1.23374801994461,-1.39281149744972,-0.899059992330079,-1.44157498247316,-0.749907093007482,-1.67461182926139,-1.21663712953451,-1.19451480044979,-1.33259551087553,-1.0842317715606,-1.57141823887625,-1.41523781720003,-1.19059476241349,-1.25089368911654,-1.61853337268831,-1.68931417214539,-1.78517259675341,-2.076794652255,-2.46861721717733,-2.54781735642261,-2.83799617009709,-3.22150802489012,-3.55122133988529,-3.64689236529131,-3.90762636310145,-3.77345277530578,-3.64533780105191,-3.83042376533194,-4.05534875453463,-4.01027507983201,-3.82945479129616,-3.84750809246028,1
45.004,2.5078359654154,1.03673084304558,0.622821954627159,0.436470212657459,0.465712910558485,0.703880779258837,0.0489259113203852,-0.327706946701449,0.0738821343385622,-0.154981985796999,-0.32907285787837,-0.292391001838513,-0.165995279902558,-0.227762243172521,-0.436482001342701,-0.273870267720124,-0.427682300882259,-0.428742929043601,-0.375027033308629,-0.764127269794924,-0.430926681392833,-0.415521106411885,-0.28572108534294,-0.572853025789851,-0.771195509584353,-0.533103138287463,-1.19055594474101,-0.792125727578628,-0.637324550136226,-0.87010709974898,-0.883452905734375,-0.577326978581947,-0.721623305078803,-0.866450501688827,-1.32743258397836,-0.772288303319385,-0.784916037594006,-0.908804774357772,-1.00437685170246,-0.862002543961792,-1.21215330423829,-0.794434546337762,-1.24602210854425,-1.01620410431272,-1.11495391906939,-0.693027726764212,-0.814036639661012,-0.751371369342807,-0.854418635553007,-0.644710658699759,-1.07486349718832,-1.00922366498122,-1.10331503161618,-0.713197606449906,-1.03605645141913,-0.813988839640333,-1.29784562704187,-1.00209945576422,-1.40699650977697,-0.865111049902056,-0.93096974462493,-0.528484306211218,-1.10054129346155,-0.96274137133032,-0.919620248938127,-0.837949266766448,-1.06424114009083,-0.784638121800512,-0.770117366982497,-0.919497493537972,-1.17624461686593,-1.16185701750817,-1.35906937938688,-0.993120878196142,-1.12206716462311,-0.944140358225457,-1.02763973060117,-0.896333996402149,-1.18031085200266,-1.15459661198601,-1.02353622389811,-0.954274250594234,-1.1200638214882,-0.836596590486668,-1.17159316843666,-1.21583521058028,-1.12147912406439,-1.73654373195514,-1.75012767027422,-2.03742224920497,-2.83723568020187,-2.88319707968313,-3.03558722367973,-2.87389606457542,-2.83531200247221,-2.80707630834086,-2.90929796471893,-3.07002861294569,-2.99380696284061,-2.87518882513298,-2.89402958987585,-3.06511124444838,-3.13072357175617,1
55.004,2.65346630011945,0.826139796410334,0.209316411474772,0.361964364558858,0.0822190361526061,0.387836163647845,0.0960334394620749,-0.078861559801874,-0.830022313183903,-0.356574542632521,-0.421313747040311,-0.576874034323599,-0.207356871738153,-0.524366988564488,-0.3538945845671,-0.231325108392847,-0.302886029663958,-0.478647191316753,-0.392638789064477,-0.721866423216978,-0.63357055415202,-0.415503048851502,-0.596097268872411,-1.21132969343855,-0.749336546303322,-0.780645954706963,-0.694531306431674,-0.824721460629142,-0.8378840489407,-1.22654899166612,-0.737308241410957,-0.874923017903752,-0.542819396589868,-0.897440514553283,-0.742824430360081,-0.540934288549167,-0.941399001812219,-0.951305679516392,-0.855523920967068,-1.10511904732453,-0.668493207582918,-0.97062359177893,-0.9434143694596,-0.792670739358661,-0.763022871064773,-0.717357773365947,-0.981003071667696,-0.939563020178144,-0.986700277184802,-0.780743981317252,-0.714085225406966,-1.03415803976923,-0.937397565679729,-1.16900654924254,-0.856973230173635,-1.2588949203457,-1.09362819073656,-1.19978117638428,-0.995343710233421,-1.06811467335797,-1.04461476568643,-0.903454099324672,-1.13887889748136,-1.31382782862483,-1.41316010592841,-0.801182565982592,-0.882690033759129,-0.815406063666859,-1.01772420542183,-1.30703826877304,-1.11992062674403,-1.11470170685878,-0.934754693089955,-1.10483088530095,-0.929449542032847,-1.26428376816625,-1.11195938202836,-0.995451804094994,-1.1996565886626,-0.688320288885154,-0.972601499556493,-1.05583844563454,-0.885806469059085,-1.21764004938566,-0.96014516329555,-1.46446547754304,-1.43165520509134,-1.68450118719744,-2.3254264018209,-2.14862524670756,-2.14444956954411,-2.65161219984621,-3.12065107972422,-3.05850657886813,-2.95534562970445,-3.02221498112178,-3.01791729905509,-3.00661300516814,-2.99179997595853,-3.02134525268548,-3.02571161083052,-3.02283587573234,-3.05224478485158,1
65.004,2.81863186956376,0.812776849423767,0.639738571307719,-0.174087692251338,0.449188589406448,0.866893926208742,0.438843619831794,0.0185748242126269,0.242240711834888,0.291537427278446,-0.170269340671882,-0.27136039768492,-0.0479028238070738,0.229856145452101,0.209378645747394,-0.341626674152888,-0.204521542383019,-0.19375065812417,-0.369456862342908,-0.248437059705757,-0.420713323958374,-0.458694184788518,-0.483688135143685,-0.71437565654844,-0.640816236455653,-1.09798887716085,-0.535847394779344,-1.07824188778084,-0.749949060228967,-0.614603671797144,-0.602998839167628,-0.80158248589739,-0.837747869168248,-1.04993467298787,-1.04361878714898,-0.641547357689773,-0.815089787172317,-0.948055476104955,-0.979678024294272,-1.03873754961519,-1.00911297949697,-0.768733017532533,-1.32936731535014,-0.878688214548289,-0.921712337743871,-0.859702110617842,-0.919689442917091,-0.886582771425413,-1.14911170917095,-0.755373430602979,-1.49929105229958,-1.19798941223086,-0.945957689253188,-1.08473381650812,-0.931292250825827,-1.07948100934095,-0.982022775279293,-1.7052840900193,-1.1005611109738,-1.27059287383161,-1.03747756430685,-1.07470440131403,-1.39852107539358,-0.914296027763502,-1.10738450387632,-0.871173157725694,-0.933680008117767,-1.17157106998601,-1.16680007333586,-0.99626795072232,-1.07962954776034,-1.24170101373971,-1.40022530561752,-0.888386120400984,-0.807238594541737,-1.00536619303515,-0.94029563048149,-1.4193463490744,-1.41349018339434,-1.1090648505847,-1.05533871129086,-0.612570122651435,-1.39834976542481,-0.797655503245731,-1.41484991551019,-1.46971706929561,-1.11517466189029,-1.62960110950152,-2.11563986268227,-1.86728526049648,-2.33081186490544,-2.41237768905338,-2.60928005756802,-2.54793161691601,-2.6200122587118,-2.67949439785143,-2.67951511658928,-2.59598323093856,-2.60046281680552,-2.6208638780841,-2.6384242694409,-2.63961251457742,-2.63063930698407,1
75.004,3.38879062427699,0.988515599261044,0.346860747461924,0.0514541542289665,0.144885612149664,0.384721898951671,0.554048572120332,0.279255260254499,0.249300828288508,-0.363175185271243,-0.290620502872257,0.102564338332233,-0.451478209692992,-0.236333228932252,0.017568622429977,-0.0381412061994721,-0.380417169650408,-0.141789267927961,-0.254852894327405,-0.521919036836288,-0.80690651890246,-0.252322501510105,-0.625128858753962,-0.495652072111318,-0.995770056136854,-0.913651797841488,-0.655483896418325,-1.14260393706859,-0.803099623146737,-1.02200578767306,-0.825723258496724,-1.08109038384515,-0.664542984914761,-0.797047860667109,-0.534570287320177,-0.967096447071304,-1.12260197748112,-1.34736132307768,-0.694544927728021,-1.02845321695579,-1.28680698253949,-0.83291565733741,-0.960025541214844,-0.780204256988761,-1.08906768653,-0.542190339213216,-0.750894688873397,-1.17308972963763,-1.16087382068676,-0.9563863312806,-0.92449691530914,-1.06658722877388,-0.874901999252901,-1.35473913293008,-1.26072035486564,-0.805684804822438,-1.13263069169821,-1.14048250688535,-1.34723064387866,-1.20791345742059,-0.922826766486683,-0.726321819910716,-0.935750109422777,-1.15881746317989,-1.31388689085591,-1.05171008913411,-0.953529881748433,-1.36017227703487,-1.0257829437568,-1.08820738460487,-0.977180342000279,-0.928646271900775,-1.54096373336202,-1.20349803045275,-1.30924184781834,-0.920925449152247,-1.0959055328179,-0.983260986803773,-1.06352857411948,-1.05564056541754,-1.17671957623406,-0.996751864592916,-1.13870641174985,-1.37228725587049,-1.12670930191608,-1.55496925711293,-1.62334116242565,-1.53485231507338,-2.32896826702815,-1.87597474517737,-2.23489396590149,-2.36713687090856,-2.80372338145221,-2.53076856652408,-2.39673080548582,-2.49970726521002,-2.55211205220481,-2.69686705112113,-2.55623624140697,-2.40979011463557,-2.4545621072836,-2.64813040703741,-2.73657700169173,1
85.004,3.04050949658749,0.67571811795915,0.876903906737421,0.19864300279177,0.622403047537055,0.253894394173643,0.492274266429735,0.0434368436100234,0.0439537302408905,0.0379258157107709,-0.752340182218972,-0.153221598569859,-0.229667049328344,-0.314100678399131,-0.373543722540691,-0.475306056155826,0.179422813145067,-0.0557590719238027,-0.340266452311287,-0.561153490921166,-0.54347681228221,-0.576354924621617,-0.570571847434291,-0.597216206971376,-0.641666476357349,-0.623186789489671,-0.69888759904123,-0.968173999376307,-0.848600002320113,-0.819822371190137,-1.11564486079746,-0.789011266833724,-1.2866015596805,-0.717373220648203,-1.187101126042,-0.664677620911987,-0.854725978044599,-0.992684559685082,-0.779143535476119,-0.797939872639707,-0.745557889428057,-1.20031601014766,-0.701608237768795,-0.781792404919973,-0.724613637929074,-0.778138787115002,-1.15503194086192,-0.740551170996852,-1.10241859107126,-0.800225916369321,-0.655673255388352,-1.16178306784561,-1.17026017235962,-0.94125052680696,-1.28086954497748,-1.1128743921381,-0.89285559839881,-1.19476203565196,-1.09295637309319,-1.44028620236028,-1.04369795827497,-1.41350588610821,-0.749937684063705,-0.772878283416395,-1.0949117354803,-1.1644666409293,-1.11635002203037,-1.13241114427351,-1.35882357405827,-1.18970621164495,-1.07354710982867,-1.42928104368797,-1.35047556443667,-1.16226233612169,-1.45520788352825,-0.851493539432605,-1.20338957575737,-0.998396179908664,-1.08998173866474,-1.11803431251483,-1.72289828245598,-0.950145146937248,-0.932712819829455,-1.04461219192139,-1.34349916679167,-1.11504384100632,-1.41459407166129,-1.78892037610321,-1.83891098483341,-2.03225408768349,-2.56775881682101,-2.73889078273937,-2.96609681201318,-2.87513071936175,-2.82526195953204,-2.92649104046169,-3.10398285043827,-3.35547204325128,-3.15069234811124,-3.01147741779967,-3.0195969734483,-3.26897714633194,-3.33654535290952,1
95.004,2.47849860970554,0.718669666504276,0.190132181482469,-0.178255467228522,0.475155526117854,0.300190492504575,-0.115408462748822,-0.0874649491795931,0.145618288386375,-0.213744737078718,-0.0264767977777706,-0.7032886476358,-0.587014761679665,-0.358178780689776,-0.324636588838203,-0.23264091892687,0.00913539817685428,-0.28438770964539,-0.255331063712278,-0.832723120831936,-0.410676398839794,-0.468298693403005,-0.822244676966576,-0.547391328516837,-0.703871720173148,-0.741368252219021,-0.836975273918896,-0.412550763631973,-1.02684130927141,-0.881339326547565,-1.16656043636807,-0.775934367768573,-0.887866538189007,-0.990917530863053,-0.914027192751465,-1.01290519341841,-0.940981768078776,-1.17870863458306,-0.689523654047647,-1.10199902148535,-1.09476802492754,-1.01790264957835,-0.786116895614202,-1.15076937416749,-0.861143580059167,-0.833165789104804,-1.12663275233519,-0.733767156695422,-1.02694430652888,-0.427109342699261,-1.11032349620229,-1.05045206071944,-1.18258726277985,-1.01992515469778,-0.664911669806796,-1.31110052267943,-1.24251893845107,-1.05137557792277,-0.762983162955131,-0.926030488798585,-0.790304683481024,-1.31853932102409,-1.02446653635304,-0.925031404529035,-1.62598322824961,-1.10874370946984,-1.27894573866745,-1.10276704489637,-0.81851731307163,-1.13466130901458,-1.21867979654356,-1.32122754422475,-1.26006757417788,-1.20202232627392,-0.847129225016611,-1.1577416696706,-1.50020158761763,-1.04719320365531,-1.32680504048646,-0.970700686489705,-0.468887015378533,-1.08100945674247,-1.13457518934715,-1.45061656665358,-1.07918823075277,-1.32611684948097,-1.72563977949071,-1.64045419102347,-2.0738859643015,-2.43861684522601,-2.47328813176627,-2.77983159695397,-3.00478457514749,-3.11002300077378,-3.16950796789234,-3.16088819420573,-3.03910561812356,-2.88821080848985,-3.10255230708866,-3.32260804956108,-3.20320590957949,-3.07116250055455,-2.99215035774041,0.9996
